I am a boy.	Yo soy un niño.
A grey dress.	Un vestido gris.
A brown hat.	Un sombrero marrón.
I want a t-shirt.	Yo quiero una camiseta.
A cheap dress.	Un vestido barato.
That hat.	Ese sombero.
An expensive hat.	Un sombero caro.
Una tienda diferente A different store.
I need a red dress.	Yo necesito un traje rojo.
A coat	Un abrigo.
A skirt	Una falda.
This watch is too expensive	Este reloj es demasiado caro.
A need a purse.	Yo necesito una cartera.
I want comfortable clothes 	Yo quiero ropa cómoda.
A gift for my daughter.	Un regalo para mi hija.
An expensive belt.	Un cinturón caro.
My favourite store.	Mi tienda favorita.
A blue purse.	Un careta azul.
A brown belt.	Un cinturón marrón.
Good bye, good night.	Adiós, buenas noches.
Hello, good morning.	Hola, buenos días.
Thank good, good night.	Gracias, buenas noches.
Hello, pleased to meet you.	Hola, mucho gusto.
Thanks, bye.	Gracias, adiós.
The women	Las mujeres.
They are men.	Ellos son hombres.
The women drink water.	Las mujeres beben agua.
We are girls.	Nosotras somos niñas.
	Los hombres.	The men.
They drink.	Ellos benen.
The boys.	Los niños.
They are women	Ellas son mujeres.
I write a letter.	Yo escribo una carta.
You write a book.	Usted escribe un libro.
The wine. 	El vino.
The book	El libro.
We write.	Nosotros escribimos.
You write a book.	Tú escribes un libro.
I read a book.	Yo leo un libro.
The newspaper.	El diario.
She is a person.	Ella es una persona.
The boys write.	Los niños escriben.
You read.	Usted lee.
Ustedes leen. You read (pl)
We read the newspaper.	Nosotras leemos el diario.
I am a person.	Yo soy una persona.
You read a book.	Tú lees un libro.
The book	El libro.
The class	La clase.
The teacher	El maestro.
The pen	El bolígrafo.
Very easy.	Muy fácil.
My school.	Mi escuela.
A Spanish exam.	Un examen de español.
My Spanish teacher.	Mi maestro de español.
An easy class.	Una clase fácil.
An interesting problem.	Un problema interesante.
A student.	Un estudiante.
I need to write in Spanish.	Yo necesito escribir en español.
I need to study.	Yo necesito estudiar.
A difficult exam.	Un examen difícil.
I need to read.	Yo necesito leer.
I have a question.	Yo tengo una pregunta.
I have a problem.	Yo tengo un problema.
An important class.	Una clase importante.
I write in Spanish.	Yo escribo en español.
I am not a student.	Yo no soy estudiante.
I understand.	Yo comprendo.
I study Spanish.	Yo estudio español.
I do not understand.	Yo no comprendo.
I read in Spanish.	Yo leo en español.
I study a lot.	Yo estudio mucho.
Yo leo con mi maestro. I read with my teacher.
The computer.	La computadora.
The university.	La universidad.
The professor.	El profesor.
You write in Spanish?	¿Tú escribes en español?
You study Spanish?	¿Tú estudias español?
I study medicine.	Yo estudio medicina.
You read a lot?	¿Tú lees mucho?
I study in the university.	Yo estudio en la universidad.
Well, and you?	Bien, ¿y tú?
No, I am not well	No, no estoy bien.
She is well.	Ella está bien.
She is tired.	Ella está cansada.
He is tired.	Él está cansado.
You are not well?	¿No estás bien?
Hello, how are you?	Hola, ¿cómo estás?
How are you?	¿Cómo estás?
Good night, madam.	Buenas noches, señora.
Thank you, see you later.	Gracias, hasta luego.
Hello, good afternoon.	Hola, buenas tardes.
Goodbye, see you tomorrow!	¡Adiós, hasta mañana!
Good morning, sir.	Buenos días, señor.
Buenos días, señorita. Good morning, miss
How are you, sir?	¿Cómo está usted, señor?
Good afternnon, how are you?	Buenas tardes, ¿cómo está usted?
The lady is busy.	La señora está ocupada.
Excuse me, are you unwell?	Perdón, ¿estás mal?
Miss, what is your name?	Señorita, ¿cómo se llama usted?
Excuse me sir, are you busy?	Disculpe señor, ¿está usted ocupado?
Good morning, what is your name?	Buenos días, ¿cómo te llamas?
I am happy.	Estoy feliz.
I am not very happy.	No estoy muy feliz.
Excuse me, sir, what is your name?	Perdón, señor, ¿cómo se llama?
The man is unwell.	El hombre está mal.
The coffee.	El café.
The tea.	El té.
The banana.	La banana.
You don't want bread?	¿Tú no quieres pan?
Sir, do you want some water?	Señor, ¿quiere usted agua?
I want milk.	Yo quiero leche.
He wants more bread.	Él quiere más pan.
Do you want a coffee?	¿Quieres un café?
The boy wants bread.	El niño quiere pan.
Thank you, I do not want a tea.	Gracias, yo no quiero un té.
The car.	El carro.
The taxi.	El taxi.
The money.	El dinero.
He does not need more water.	Él no necesita más agua.
I need apples.	Yo necesito manzanas.
Do you need milk	¿Necesitas leche?
I need help, please.	Yo necesito ayuda, por favor.
You do not need a taxi.	Tú no necesitas un taxi.
He does not need more money.	Él no necesita más dinero.
The pen.	El bolígrafo.
The telephone.	El teléfono.
The computer.	La computadora.
No, I don't need to use the car.	No, yo no necesito usar el carro.
I use the car.	Yo uso el carro.
You use the car?	¿Tú usas el carro?
No, she does not use the computer.	No, ella no usa la computadora.
The man uses the telephone.	El hombre usa el teléfono.
The boy needs a pen.	El niño necesita un bolígrafo.
The purse.	La cartera.
The passport.	El pasaporte.
Do you have the telephone?	¿Tienes el teléfono?
I need my ticket.	Yo necesito mi boleto.
Yes, I have a car.	Sí, yo tengo un carro.
I do not need a suitcase.	Yo no necesito una maleta.
He has the ticket and the passport.	Él tiene el boleto y el pasaporte.
Do you have my purse.	¿Tú tienes mi cartera?
She has a suitcase.	Ella tiene una maleta.
Zero 	Cero
Two 	Dos
Three 	Tres
Four 	Cuatro
Five	Cinco
Six	Seis
Seven	Siete
Eight	Ocho
Nine	Nueve
Ten	Diez
Eleven	Once
Twelve	Doce
Thirteen	Trece
Fourteen	Catorce
Fifteen	Quince
Sixteen	Qieciséis
Seventeen	Diecisiete
Eighteen	Dieciocho
Nineteen	Diecinueve
Twenty	Veinte
Twenty-One	Veintiuno
Thirty	Treinta
Forty	Cuarenta
Fifty	Cincuenta
Sixty	Sesenta
Seventy	Setenta
Eighty	Ochenta
Ninety	Noventa
One Hundred	Cien
Two Hundred	Doscientos
Three Hundred	Rrescientos
One Thousand	Mil
Today is Thursday.	Hoy es jueves.
The match is on Friday.	El partido es el viernes.
My birthday is not on Tuesday.	Mi cumpleaños no es el martes.
The baseball match is on Tuesday.	El partido de béisbol es el martes.
Is today Wednesday?	¿Hoy es miércoles?
Today is my birthday.	Hoy es mi cumpleaños.
What day is it today?	¿Qué día es hoy?
The baseball match is on Thursday.	El partido de béisbol es el jueves.
Yes, today is Wednesday.	Sí, hoy es miércoles.
Tomorrow is Friday.	Mañana es viernes.
The party.	La fiesta.
Tomorrow is Sunday.	Mañana es domingo.
Baseball is a lot of fun.	El béisbol es muy divertido.
Tomorrow is Saturday.	Mañana es sábado.
The concert is on Tuesday.	¿El concierto es el martes?
When is your birthday?	¿Cuándo es tu cumpleaños?
Is the party fun?	¿Es divertida la fiesta?
Today is Saturday	Hoy es sábado.
The match is on Sunday.	El partido es el domingo.
The dance.	El baile.
The movie	La película.
My favourite concert.	Mi concierto favorito.
A week in Mexico.	Una semana en México.
It is my favourite party.	Es mi fiesta favorita.
Enjoy Friday!	¡Disfruta el viernes!
Happy weekend!	¡Feliz fin de semana!
The dance is tomorrow.	El baile es mañana.
The movie is today?	¿La película es hoy?
Enjoy the weekend.	¡Disfruta el fin de semana!
I speak French	Yo hablo francés.
Ma'am do you speak English	Señora, ¿usted habla inglés?
No I do not study English.	No, yo no estudio inglés.
Do you want to speak Spanish	¿Tú quieres hablar español?
I need to study more	Yo necesito estudiar más.
Where do you study?	¿Dónde estudia usted? ¿Dónde estudias?
He wants to speak English.	Él quiere hablar inglés.
Do you want to study English.	¿Quieres estudiar inglés?
I study English and Spanish.	Yo estudio inglés y español.
The office.	La oficina.
Where do you work?	¿Dónde trabaja usted?
You work on Sunday?	¿Tú trabajas el domingo?
I do not work on Sunday.	Yo no trabajo el domingo.
Where do you want to work?	¿Dónde quieres trabajar?
Who speaks Spanish?	¿Quién habla español?
She does not work in a factory.	Ella no trabaja en una fábrica.
I work in an office.	Yo trabajo en una oficina.
You do not work today.	Tú no trabajas hoy.
Who studies French?	¿Quién estudia francés?
Who speaks Spanish?	¿Quién habla español?
The juice.	El jugo.
The sandwich.	El sándwich.
The meat.	La carne.
The wine.	El vino.
Yes, I want to drink more water.	Sí, yo quiero beber más agua.
You are eating a salad.	Tú comes una ensalada.
Yes, I want to eat more bread.	Sí, yo quiero comer más pan.
Yes, I want to drink more wine.	Sí, yo quiero beber más vino.
The boy eats a sandwich.	El niño come un sándwich.
The woman drinks juice.	La mujer bebe jugo.
I study French.	Yo estudio francés.
I do not want to speak Spanish.	Yo no quiero hablar español.
Do you not want to study Spanish? 	¿Tú no quieres estudiar español?
Yes, I study Spanish.	Sí, yo estudio español.
I want to speak Spanish.	Yo quiero hablar español.
Sir, do you speak Spanish?	Señor, ¿usted habla español?
The school.	La escuela.
The restaurant.	El restaurante.
The teacher.	El maestro. 
He is a waiter.	Él es camarero.
The teacher is not American.	La maestra no es americana.
I speak Portuguese and Spanish.	Yo hablo portugués y español.
She is a waitress.	¿Ella es camarera?
Do you speak Spanish in school?	¿Hablas español en la escuela?
Do you work in a restaurant?	¿Tú trabajas en un restaurante?
He is not a teacher.	Él no es maestro.
The teacher is Cuban.	La maestra es cubana.
She is a waitress.	Ella es camarera.
The number.	El número.
A young woman.	Una mujer joven.
I want to be a Spanish teacher.	Yo quiero ser maestro de español.
Do you have my address?	¿Tú tienes mi dirección?
She is my friend.	Ella es mi amiga.
She does not have a mobile phone.	Ella no tiene un celular.
He is my friend.	Él es mi amigo.
Do you want my phone number?	¿Quieres mi número de teléfono?
I am not young.	Yo no soy joven.
Yes, I want to be a french teacher.	Sí, yo quiero ser maestro de francés.
Do you have a mobile phone?	¿Tienes un celular?
Do you want my address?	¿Quieres mi dirección?
Do you work in a restaurant?	¿Tú trabajas en un restaurante?
I speak English at school	Yo hablo inglés en la escuela.
Ma'am, are you a waitress?	Señora es usted camarera?
The teacher is Mexican.	El maestro es mexicano.
The woman is a teacher.	La mujer es maestra.
You are very young.	Eres muy joven.
She does not have a mobile phone.	Ella no tiene un celular.
I do not have your address	Yo no tengo tu dirección.
She is your friend.	Ella es tu amiga.
He is my friend.	Él es mi amigo.
Yes, I have your address.	Sí, yo tengo tu dirección.
A young man.	Un hombre joven.
The books.	Los libros.
The pens.	Los bolígrafos.
Is it an interesting book?	¿Es un libro interesante?
I have a zero in English.	Yo tengo un cero en inglés.
The man has three pens.	El hombre tiene tres bolígrafos.
I have a book.	Yo tengo un libro.
I have three books.	Yo tengo tres libros.
The boy wants a book.	El niño quiere un libro.
La universidad. The university.
The library.	La biblioteca.
The computers.	Las computadoras.
I need to buy three pens.	Yo necesito comprar tres bolígrafos.
The boy has a question.	El niño tiene una pregunta.
The university has two libraries.	La universidad tiene dos bibliotecas.
The library needs to buy four books.	La biblioteca necesita comprar cuatro libros.
Yes, ma'am, I have a question.	Sí, señora, yo tengo una pregunta.
The library has two computers.	La biblioteca tiene dos computadoras.
Four pens.	Cuatro bolígrafos.
Yes, four libraries.	Sí, cuatro bibliotecas.
The boy wants to learn.	El niño quiere aprender.
She works at this university	Ella trabaja en esta universidad.
Do you learn English at the university.	¿Tú aprendes inglés en la universidad?
Are you using this pen?	¿Usas este bolígrafo?
I learn English at the university.	Yo aprendo inglés en la universidad.
Yes, he learns Spanish.	Sí, él aprende español.
Yes, I learn French	Sí, yo aprendo francés.
No, I do not need this computer.	No, no necesito esta computadora.
I do not need to learn French.	Yo no necesito aprender francés.
She does not learn!	Ella no aprende!
The student has two books	El estudiante tiene dos libros.
No, I do not have two pens.	No yo no tengo dos bolígrafos.
Rafael needs a book.	Rafael necesita un libro.
I have three books.	Yo tengo tres libros.
She is tall?	¿Ella es alta?
What pet do you want?	¿Qué mascota quieres?
I have a nice boyfriend.	Tengo un novio simpático.
Your daughter is very nice.	Tu hija es muy simpática.
My father is short.	Mi padre es bajo.
This girl is very short.	Esta niña es muy baja.
Are you tall?	¿Eres alto?
I do not have pets.	Yo no tengo mascotas.
My daughter is very tall.	Mi hija es muy alta.
My son wants a pet.	Mi hijo quiere una mascota.
His mother is not very nice.	Su madre no es muy simpática.
Who isn't nice in your family	¿Quién no es simpático en tu familia?
Yes, my mother is short.	Sí, mi madre es baja.
The grandfather.	El abuelo.
My sister is ten years old.	Mi hermana tiene diez años.
What is the name of the English woman?	¿Cómo se llama la mujer inglesa?
She is Spanish?	¿Ella es española?
You have a grandmother?	¿Tú tienes una abuela?
This boy is one year old.	Este niño tiene un año.
What is your grandfather's name?	¿Cómo se llama tu abuelo?
I am eight years old.	Yo tengo ocho años.
She has a Spanish grandmother.	Ella tiene una abuela española.
I am nine years old.	Yo tengo nueve años.
Where does your Spanish girlfriend live?	¿Dónde vive tu novia española?
My mother is English and lives in England.	Mi madre es inglesa y vive en Inglaterra.
I talk with the bosses.	Yo hablo con las jefas.
The messages for this week.	Los mensajes de esta semana.
The boss has a message.	El jefe tiene un mensaje.
The secretary has no messages.	La secretaria no tiene mensajes.
He has a job in a office.	Él tiene un trabajo en una oficina.
I need the pens, please.	Necesito los bolígrafos, por favor.
What is your boss' name?	¿Cómo se llama tu jefa?
The boss has two secretaries	El jefe tiene dos secretarias.
I have messages from the secretary.	Yo tengo los mensajes de la secretaria.
He talks with the secretaries.	Él habla con las secretarias.
The boss wants to drink more tea.	La jefa quiere beber más té.
This message is important.	Este mensaje es importante.
The secretary needs help with the work.	La secretaria necesita ayuda con el trabajo.
The desk.	El escritorio.
The boss writes in his office.	El jefe escribe en su oficina.
I need to write a message.	Necesito escribir un mensaje.
I write an important message.	Yo escribo un mensaje importante.
You write with a pen.	Tú escribes con un bolígrafo.
You work here?	¿Trabajas aquí?
The boss talks a lot.	El jefe habla mucho.
Do you have a desk in your office?	¿Tú tienes un escritorio en tu oficina?
This woman writes very well in English.	Esta mujer escribe muy bien en inglés.
I do not write with a pen.	Yo no escribo con un bolígrafo.
She needs to write your address.	Ella necesita escribir tu dirección.
The boss does not eat much.	El jefe no come mucho.
The secretary does not want to work here.	La secretaria no quiere trabajar aquí.
What is the problem?	¿Cuál es el problema?
The boss has a letter for the woman.	El jefe tiene una carta para la mujer.
Do you want my email address?	¿Quieres mi correo electrónico?
My boss works little on Thursdays.	Mi jefe trabaja poco los jueves.
I want to have an interesting job.	Yo quiero tener un trabajo interesante.
La secretaria escribe las cartas los lunes. The secretary writes letters on Mondays.
The boss has a problem?	¿El jefe tiene un problema?
The secretary works little on Fridays.	La secretaria trabaja poco los viernes.
Do you want to have a job?	¿Tú quieres tener un trabajo?
I need the letters for Monday.	Yo necesito las cartas para el lunes.
Miss, what is your telephone number?	Señorita, ¿cuál es su número de teléfono?
What is your email address?	¿Cuál es tu correo electrónico?
She works little in the office.	Ella trabaja poco en la oficina.
She is very excited.	Ella está muy emocionada.
Yes I want to eat with you today.	Sí, yo quiero comer contigo hoy.
I'm sorry I'm always busy	Lo siento, yo siempre estoy ocupado.
Good morning how are you	Buenos días, ¿qué tal está usted?
Do you want to eat with me today?	¿Quieres comer conmigo hoy?
I'm sorry, I am sick today.	Lo siento, yo estoy enfermo hoy.
The boy is very excited.	El niño está muy emocionado.
No, I am not sad.	No, yo no estoy triste.
My grandmother is sick.	Mi abuela está enferma.
Do you not want to work with me?	¿No quieres trabajar conmigo?
Hello, how are you?	Hola, ¿qué tal?
The girl has a dog and is very excited 	La niña tiene un perro y está muy emocionada.
The waiter is always very busy in the restaurant.	El camarero siempre está muy ocupado en el restaurante.
Your mother is sick?	¿Tu mamá está enferma?
I'm never bored in the class	Yo nunca estoy aburrido en la clase.
You also need a doctor	Tú también necesitas un médico.
My father is sick today.	Mi papá está enfermo hoy.
Today is my birthday and I am excited.	Hoy es mi cumpleaños y estoy emocionado.
I want to enjoy a coffee with my dad.	Quiero disfrutar un café con mi padre.
You always are angry	Tú siempre estás enojado.
It is important to sleep well.	Es importante dormir bien.
This morning I am very tired.	Esta mañana estoy muy cansado.
My mother is angry with my father.	Mi mamá está enojada con mi papá.
This morning I am very tired and I need more coffee.	Esta mañana estoy muy cansado y necesito más café.
My mother is very angry today.	Mi madre está muy enojada hoy.
The girl is sad in the school	La niña está triste en la escuela.
My sister is always bored.	Mi hermana siempre está aburrida.
You never want to study with me.	Tú nunca quieres estudiar conmigo.
My friend is never happy with his work.	Mi amigo nunca está feliz con su trabajo.
I want to enjoy the day.	Quiero disfrutar el día.
She is always sick or worried.	Ella está siempre enferma o preocupada.
Her mother is tired and needs to sleep	Su mamá está cansada y necesita dormir.
I am surprised and angry.	Estoy sorprendido y enojado.
No, my father is not busy today	No, mi papá no esta ocupada hoy.
My sister is sad.	Mi hermana está triste.
I am also angry.	Yo también estoy enojado.
How many friends do you have?	¿Cuántos amigos tienes?
I do not need holidays.	No necesito vacaciones.
How many secretaries do you have	¿Cuántas secretarias tienes?
Four or five cities.	Cuatro o cinco ciudades.
I have some questions for the teacher	Tengo unas preguntas para la maestra.
We never study at home	Nosotros nunca estudiamos en casa.
We are daughters. 	Nosotras somos hijas.
You and I speak English very well	Tú y yo hablamos inglés muy bien.
The teacher is speaking with two men.	El maestro habla con dos hombres.
I want to work at two universities	Yo quiero trabajar en dos universidades.
I have a lot of friends in this class.	Yo tengo muchas amigas en esta clase.
How many women?	¿Cuántas mujeres?
How many books do you need	¿Cuántos libros necesitas?
We are men.	Nosotros somos hombres.
They are students at the university.	Ellas son estudiantes en la universidad.
I need a vacation now	Yo necesito unas vacaciones ahora.
How many students study in the library?	¿Cuántos estudiantes estudian en la biblioteca?
We are not the bosses.	Nosotros no somos los jefes.
They are women.	Ellas son mujeres.
Yes, they always study for class.	Sí, siempre estudian para la clase.
We are mothers.	Nosotras somos madres.
How many daughters do you have?	¿Cuántas hijas tienes?
The class has three men and four women.	La clase tiene tres hombres y cuatro mujeres.
How many men study here?	¿Cuántos hombres estudian aquí?
This town does not have universities.	Este pueblo no tiene universidades.
We do not speak Portuguese.	Nosotros no hablamos portugués.
Where are the students from?	¿De dónde son los estudiantes?
I have some questions for the teacher.	Tengo unas preguntas para la maestra.
The player 	El jugador
The friend	El amigo
England has a lot of soccer players	Inglaterra tiene muchos jugadores de fútbol.
Why do you work on the weekends	¿Por qué trabajas los fines de semana?
The football players speak English.	Las jugadoras de fútbol hablan inglés.
The boy wants to be a football player	El niño quiere ser jugador de fútbol.
The teacher has many students.	La maestra tiene muchos estudiantes.
My father always works on the weekends.	Mi padre siempre trabaja los fines de semana.
The university has many students.	La universidad tiene muchas estudiantes.
We are not football players.	Nosotros no somos jugadores de fútbol.
Who has many businesses?	¿Quién tiene muchos negocios?
They never study on the weekends	Ellas nunca estudian los fines de semana.
You and I are friends.	Tú y yo somos amigos.
The red shirt is for my grandmother.	La camiseta roja es para mi abuela.
They do not wear these green shirts.	Ellos no usan estas camisetas verdes.
The t-shirts here are very interesting!	¡Las camisetas aquí son muy interesantes!
Yes these shoes are a little small.	Sí, estos zapatos son un poco pequeños.
Tomorrow I want to buy a green purse.	Mañana quiero comprar una cartera verde.
My daughter wants two pretty dresses for the dance	Mi hija quiere dos vestidos bonitos para el baile.
How many pants do you need?	¿Cuántos pantalones necesitas?
The red pants are not pretty.	Los pantalones rojos no son bonitos.
Do you have a red dress?	¿Tú tienes un vestido rojo?
The red shoes are new.	Los zapatos rojos son nuevos.
These t-shirts are very pretty.	Estas camisetas son muy bonitas.
My mother uses large wallets.	Mi mamá usa carteras grandes.
The green dress is very pretty.	El vestido verde es muy bonito.
The girl needs small t-shirts.	La niña necesita camisetas pequeñas.
How many red purses do you want to buy?	¿Cuántas carteras rojas quieres comprar?
This woman has some interesting dresses.	Esta mujer tiene unos vestidos interesantes.
Do you need new shoes again?	¿Ustedes necesitan zapatos nuevos otra vez?
These dresses are very small.	Estos vestidos son muy pequeños.
My boyfriend always wears red t-shirts.	Mi novio siempre usa camisetas rojas.
My Spanish teacher wears green dresses.	Mi maestra de español usa vestidos verdes.
The Mexican restaurant is very close.	El restaurante mexicano está muy cerca.
The students are at the bus stop.	Los estudiantes están en la parada del autobús.
The door is small.	La puerta es pequeña.
Where is my train?	¿Dónde está mi tren?
The train station is near the parks.	La estación de tren está cerca de los parques.
We are in a big city.	Nosotros estamos en una ciudad grande.
To the left.	A la izquierda.
This bank does not have money!	¡Este banco no tiene dinero! 
Do you want to take a taxi?	¿Quieres tomar un taxi?
The metro station has many trains.	La estación de metro tiene muchos trenes.
The universities are far from the park.	Las universidades están lejos del parque.
Do you want to travel with me?	¿Quieres viajar conmigo?
Where are we now?	¿Dónde estamos ahora?
Where is the park?	¿Dónde está el parque?
This city has many banks.	Esta ciudad tiene muchos bancos.
The town has two supermarkets.	El pueblo tiene dos supermercados.
Where is the bus station?	¿Dónde está la estación de autobuses?
The cafe is far from the supermarket.	El café está lejos del supermercado.
Do you need to go to the bank?	¿Necesitas ir al banco?
The university is near here.	La universidad está cerca de aquí.
Do you want Mexican or Italian food?	¿Quieres comida mexicana o italiana?
I want to enjoy an afternoon with friends.	Yo quiero disfrutar una tarde con amigos.
Father, this rice is very good.	Papá, este arroz es muy bueno.
They want chicken with a salad.	Ellos quieren pollo con una ensalada.
What do they write?	¿Qué escriben ellos?
We do not want to walk today.	Nosotros no queremos caminar hoy.
We want to live together.	Nosotros queremos vivir juntos.
I want an enjoyable vacation.	Yo quiero unas vacaciones divertidas.
My wife and I live in a beautiful house.	Mi esposa y yo vivimos en una casa bonita.
The girl does not want to open her book.	La niña no quiere abrir su libro.
When do you want to read the newspaper?	¿Cuándo quieres leer el periódico?
We eat a lot of chicken.	Nosotros comemos mucho pollo.
I do not have boring books.	Yo no tengo libros aburridos.
Este pueblo tiene dos playas.	Este pueblo tiene dos playas.
He needs a lot of water.	Él necesita mucha agua.
I read many books in the summer.	Yo leo muchos libros en el verano.
My family has two houses at the beach.	Mi familia tiene dos casas en la playa.
Summers here are always enjoyable.	Los veranos aquí siempre son divertidos.
They eat in many restaurants.	Ellas comen en muchos restaurantes.
The holidays are not boring.	Las vacaciones no son aburridas.
She eats at home	Ella come en casa.
We live in England.	Nosotras vivimos en Inglaterra.
You drink water.	Tú bebes agua.
Do you want to learn?	¿Usted quiere aprender?
They speak English.	Ellos hablan inglés.
They need to read this message.	Ellas necesitan leer este mensaje.
They buy chicken.	Ellos compran pollo.
She needs to leave now.	Ella necesita salir ahora.
We are learning English.	Nosotras aprendemos inglés.
We need to open this door.	Necesitamos abrir esta puerta.
We are reading books.	Nosotros leemos libros.
I want to eat an apple.	Quiero comer una manzana.
They want to work in a university.	Ellos quieren trabajar en una universidad.
We work in a school.	Nosotros trabajamos en una escuela.
They are leaving now.	Ellos salen ahora.
We are not opening this door.	Nosotras no abrimos esta puerta.
I need to buy a car.	Necesito comprar un carro.
I want to speak Spanish.	Quiero hablar español.
You need to write more.	Usted necesita escribir más.
We open the doors.	Nosotros abrimos las puertas.
Why do you like to draw?	¿Por qué te gusta dibujar?
I like this skirt because it's green.	Me gusta esta falda porque es verde.
The girl wants a cake for her birthday	La niña quiere un pastel para su cumpleaños.
Where are the dogs	¿Dónde están los perros?
I have an old car.	Yo tengo un carro viejo.
That boy's clothes are interesting	La ropa de ese chico es interesante.
My t-shirts are old but pretty.	Mis camisetas son viejas pero bonitas.
We want coffee with sugar	Nosotros queremos café con azúcar.
Where are the girls?	¿Dónde están las chicas?
I want to buy more chocolate.	Yo quiero comprar más chocolate.
The chocolate cakes are my favourite.	Los pasteles de chocolate son mis favoritos.
I have no favourite foods.	Yo no tengo comidas favoritas.
Do you have bread for the cheese?	¿Tienes pan para el queso?
She has two new bicycles.	Ella tiene dos bicicletas nuevas.
I want to buy that red purse.	Yo quiero comprar esa cartera roja.
She doesn't wear dresses but wears skirts.	Ella no usa vestidos, pero usa faldas.
Is this hat for him.	¿Este sombrero es para él?
I am using my mum's old purse.	Yo uso la cartera vieja de mamá.
We want two pretty hats.	Queremos dos sombreros bonitos.
That girl has a pretty bicycle.	Esa chica tiene una bicicleta bonita.
How many cakes do you want?	¿Cuántos pasteles quieres?
What food do you love?	¿Qué comida te encanta?
The cheese sandwich is very good.	El sándwich de queso es muy bueno.
hese are my favorite cheeses.	Estos son mis quesos favoritos. 
The boy wants to draw a dog.	El niño quiere dibujar un perro.
Chocolate has sugar.	El chocolate tiene azúcar.
That hat is for dad.	Ese sombrero es para papá.
This cake is for my grandfather.	Este pastel es para mi abuelo.
Do you want to eat something now?	¿Ustedes quieren comer algo ahora?
